安庆,ANQING,安庆市第一人民医院,www.aqhospital.com
吉林,JILIN,吉林爱尔眼科医院,www.eye0432.com
吉林,JILIN,吉林亮亮眼科医院,lleyes.ce.c-c.com
吉林,JILIN,吉林新华明眼科医院,www.nhmeye.com
吉林,JILIN,解放军222医院,www.yzbzl.net
即墨,JIMO,即墨同德眼科医院,www.tdyk.com.cn
济南,JINAN,济南市第二人民医院,www.sdjneye.com
济南,JINAN,济南市明水眼科医院,www.jneye.com.cn
济南,JINAN,济南中心医院,www.zxyy.cn
晋城,JINCHENG,晋城煤业集团总医院,www.jmjtzyy.com
荆州,JINGZHOU,湖北荆州市中心医院,www.jzzxyy.com.cn
荆州,JINGZHOU,荆州市第一人民医院,www.jzyy1949.com
金华,JINHUA,金华近视眼治疗中心,jhjszlzx.cn.biz72.com
金华,JINHUA,金华眼科医院,www.jheye.com
晋中,JINZHONG,平遥康明眼科医院,jinzhong012428.11467.com
锦州,JINZHOU,锦州亚东眼科医院,www.jzydyk.com
克拉玛依,KELAMAYI,克拉玛依市中心医院,www.xslmed.net
昆明,KUNMING,昆明爱尔眼科医院,www.eye0871.com
昆明,KUNMING,昆明红十字医院,www.chinaeye.com/
昆明,KUNMING,昆明华山眼科医院,www.hs0871.com
昆明,KUNMING,昆明普瑞眼科医院,121402.shop.liebiao.com
昆明,KUNMING,昆明新华同仁眼科医院,20505255.1024sj.com
昆明,KUNMING,云南省梯古眼科医院,www.tiguvision.com
莱阳,LAIYANG,山东莱阳市中医院,1069553.1024sj.com/
廊坊,LANGFANG,廊坊洛基眼科医院,1084601.1024sj.com
兰州,LANZHOU,兰州爱尔眼科医院,www.aier0931.com/
兰州,LANZHOU,兰州军区总院安宁分院,63916.54114.com
兰州,LANZHOU,兰州普瑞眼科医院,www.p0931.com/
拉萨,LASA,中国人民解放军西藏军区总医院,1077520.shop.liebiao.com
连云港,LIANYUNGANG,连云港曙光眼科医院,lygsgyk.71.net
聊城,LIAOCHENG,聊城市第二人民医院,www.lceryuan.net
辽阳,LIAOYANG,辽阳文圣医院,liaoyang04360.11467.com/
临沂,LINYI,莒南县红十字会光明眼科医院,www.jngmyy.com
丽水,LISHUI,丽水市中心医院,www.lshospital.zj.cn
浏阳,LIUYANG,湖南浏阳集里医院,www.lyjlyy.com
柳州,LIUZHOU,柳州市人民医院 (广西医科大学第五附属医院),www.lzry.com.cn
溧阳,LIYANG,江苏溧阳中医院,www.lyzyy.com
龙岩,LONGYAN,龙岩市第一医院(爱华医院),www.lydyyy.com.cn
马鞍山,MAANSHAN,马鞍山市中心医院,www.masszxyy.com
绵阳,MIANYANG,绵阳万江眼科医院,mianyang04797.11467.com/
绵阳,MIANYANG,绵阳中心医院,www.myzxyy.com
南昌,NANCHANG,南昌爱尔眼科医院,www.eye0791.com
南昌,NANCHANG,南昌大学第二附属医院,www.jxndefy.cn/
南昌,NANCHANG,南昌普瑞眼科医院,www.pr0791.com
南昌,NANCHANG,南昌市第一医院,www.nc1y.com
南充,NANCHONG,南充爱尔眼科医院,www.0817eye.com
南京,NANJING,南京爱尔眼科医院,www.eye025.com
南京,NANJING,南京东南眼科医院,www.njsee.com
南京,NANJING,南京医科大学第二附属医院,www.jsnydefy.com
南宁,NANNING,广西南宁第一人民医院,www.nn1yy.com
南宁,NANNING,广西壮族自治区人民医院,www.gxhospital.com
南宁,NANNING,南宁爱尔眼科医院,www.eye0771.com
南通,NANTONG,南通中医院,www.0513jinshi.com
南阳,NANYANG,南阳市第二人民医院,www.nysey.com
南阳,NANYANG,南阳市眼科医院,www.nyyanke.com
宁波,NINGBO,宁波第六医院,www.nbdlyy.com
宁波,NINGBO,宁波海曙明视康,ningbo040001.11467.com
宁波,NINGBO,宁波市眼科医院,www.nbeye.com
迁安,QIANAN,迁安市人民医院,www.qasrmyy.com
青岛,QINGDAO,青岛骨伤医院,jimo07.11467.com
青岛,QINGDAO,青岛新视界眼科医院,www.qdneweye.com
秦皇岛,QINHUANGDAO,秦皇岛第一人民医院,www.qhdsdyyy.com
秦皇岛,QINHUANGDAO,秦皇岛市视光眼科中心,www.shiguangeye.com
泉州,QUANZHOU,泉州丰泽新视力眼科医院有限公司,www.0595eye.com
日照,RIZHAO,日照市人民医院,www.rzph.com
日照,RIZHAO,山东日照中医院,www.rzzyy.com
如皋,RUGAO,如皋市博爱医院,www.rgboai.com
如皋,RUGAO,如皋市鹏城眼科医院（胜利医院）,nantong064501.11467.com
上海,SHANGHAI,解放军85医院,www.sh85yy.com
上海,SHANGHAI,上海爱尔眼科医院有限公司,www.aier021.com
上海,SHANGHAI,上海沪申五官科医院,www.hs5g.com
上海,SHANGHAI,上海交通大学附属新华医院,www.xinhuamed.com.cn
上海,SHANGHAI,上海明视康眼科医院（解放军第455医院）,www.455hospital.cn
上海,SHANGHAI,上海普瑞眼科医院,www.pr021.com
上海,SHANGHAI,上海仁爱医院眼科,www.renai.cn
上海,SHANGHAI,上海市眼病防治中心,www.shsyf.com
上海,SHANGHAI,上海新视界眼科医院,www.shneweye.com
上海,SHANGHAI,上海长海医院,chhospital.com.cn
商丘,SHANGQIU,商丘市第一人民医院,www.sqsyy.com
韶关,SHAOGUAN,韶关爱尔眼科医院,www.eye0751.com
韶关,SHAOGUAN,粤北人民医院,www.ybyy.net
邵阳,SHAOYANG,湖南省邵阳大祥区人民医院,shaoyang01741.11467.com
嵊州,SHENGZHOU,嵊州沈氏眼科医院,www.sz-eye.com
沈阳,SHENYANG,解放军463医院,www.463.cn
沈阳,SHENYANG,锦州何氏眼科医院,www.hsyk024.com
沈阳,SHENYANG,沈阳爱尔眼科医院,www.eye024.com
沈阳,SHENYANG,沈阳何氏眼科医院,www.hsyk024.com
沈阳,SHENYANG,沈阳军区总医院,www.syjqzyy.com
沈阳,SHENYANG,中国医科大学第四医院,www.cmu4h.cn
沈阳,SHENYANG,中国医科大学附属第一医院,www.cmu1h.com
深圳,SHENZHEN,北京大学深圳医院,www.pkuszh.com
深圳,SHENZHEN,深圳博爱医院,www.szboai.com.cn
深圳,SHENZHEN,深圳春天医院,spring.91.cn
深圳,SHENZHEN,深圳科美眼科医院,www.kemei.cn
深圳,SHENZHEN,深圳市眼科医院,www.sz-eyes.com
深圳,SHENZHEN,深圳曙光眼科医院,yanke.sg91.net
深圳,SHENZHEN,深圳曙光医院,www.sg91.net/
深圳,SHENZHEN,深圳阳光医院,sun.91.cn
石家庄,SHIJIAZHUANG,河北医科大学第二医院,www.hb2h.com
石家庄,SHIJIAZHUANG,太原康明眼科医院,1181690.1024sj.com
四平,SIPING,四平华正眼科医院,www.sphz.net
宿迁,SUQIAN,宿迁科以康五官医院,www.sqwgyy.com
苏州,SUZHOU,苏州大学医学院附属第二医院,www.sdfey.com
苏州,SUZHOU,苏州海维视眼科医院,www.0512eye.com
苏州,SUZHOU,苏州市立医院,www.smh.cc
苏州,SUZHOU,苏州眼耳鼻喉科医院,www.szeent.com.cn
泰安,TAIAN,泰安爱尔眼科医院,taian.aierchina.com
泰安,TAIAN,泰安市中心医院,www.taishanyy.com
泰安,TAIAN,中国人民解放军第88医院,taian029814.11467.com
泰兴,TAIXING,江苏泰州中医院,www.tzszyy.com
太原,TAIYUAN,太原爱尔眼科医院,www.aier0351.com
太原,TAIYUAN,太原康明眼科医院,1181690.1024sj.com
台州,TAIZHOU,浙江省台州医院,www.tzhospital.com
唐山,TANGSHAN,唐山明视康眼科医院（唐山眼科医院）,www.tsyk.org/
唐山,TANGSHAN,唐山协和医院,www.tsxhyy.org/
天津,TIANJIN,天津254医院,www.254hospital.com.cn
天津,TIANJIN,天津爱尔眼科医院,www.aier022.com
天津,TIANJIN,天津华夏医院,www.huaxiahp.com
天津,TIANJIN,天津人民医院,umc.net.cn
天津,TIANJIN,天津市眼科医院,www.oio.com.cn
天津,TIANJIN,天津武警医院,www.wj-hospital.com
天津,TIANJIN,天津医科大学第二医院,www.yd2y.com.cn
天津,TIANJIN,天津医科大学眼科中心,www.tmuec.com
天津,TIANJIN,天津医科大学总医院,www.tjmugh.com.cn
通化,TONGHUA,通化市人民医院,tonghua01762.11467.com
通化,TONGHUA,通化市眼科医院 ,tonghua01802.11467.com
通化,TONGHUA,通化市中心医院,www.thszxyy.com
通辽,TONGLIAO,通辽华正眼科医院,www.tlhzyk.com
铜陵,TONGLING,安徽铜陵人民医院,www.tlhos.com
潍坊,WEIFANG,山东诸城人民医院,www.zchospital.cn
潍坊,WEIFANG,潍坊眼科医院,www.wfeye.com
威海,WEIHAI,解放军404医院,www.cjbd.com.cn
文登,WENDENG,山东文登第一人民医院,weihai013526.11467.com
温岭,WENLING,温岭中医院,www.wlzyy.com
温州,WENZHOU,温州医科大学附属眼视光医院,www.wzeye.cn
温州,WENZHOU,温州医学院附属第一医院,www.hosp1.ac.cn
武汉,WUHAN,武昌艾格眼科医院,s9mvsm0v.locoso.com
武汉,WUHAN,武汉艾格眼科医院,www.aige010.com
武汉,WUHAN,武汉爱尔眼科医院,www.eye027.com
武汉,WUHAN,武汉普瑞眼科医院,www.pr027.com
乌鲁木齐,WULUMUQI,乌鲁木齐普瑞眼科医院,www.p0991.com
乌鲁木齐,WULUMUQI,新疆維吾爾自治區人民醫院,1072271.1024sj.com
武威,WUWEI,甘肃省武威肿瘤医院,www.gswwzlyy.com
无锡,WUXI,无锡市第四人民医院,www.wuxihospital.com
厦门,XIAMEN,厦门大学附属厦门眼科中心,www.xiameneye.org.cn
厦门,XIAMEN,厦门长庚医院,www.cgmh.com.cn
西安,XIAN,第四军医大学第一附属医院西京医院,xjwww.fmmu.edu.cn
西安,XIAN,解放军451医院,www.451zl.com
西安,XIAN,陕西汉中卫校,hanzhong02965.11467.com
西安,XIAN,西安市第四医院,www.grmg.com.cn
西安,XIAN,西安市第一医院,www.xadyyy.com
襄樊,XIANGFAN,襄樊第一人民医院,1075658.1024sj.com
湘潭,XIANGTAN,湘潭爱尔眼科医院,0732.aierhn.com
湘潭,XIANGTAN,湘潭市红十字仁和医院,1054246.1024sj.com
襄阳,XIANGYANG,襄阳市第一人民医院,www.xysdyrmyy.cn
邢台,XINGTAI,邢台市眼科医院,www.eyehospital.com
西宁,XINING,西宁市第一人民医院,www.xnsdyyy.com
辛集,XINJI,辛集复明眼科医院,www.xjfumingeye.com
辛集,XINJI,辛集和平眼科医院,www.hepingyanke.cn
新乡,XINXIANG,新乡371医院(解放军第371医院),tag.120ask.com
新乡,XINXIANG,新乡市眼科医院,xinxiang010764.11467.com
信阳,XINYANG,信阳市眼科医院,www.xinyangyanke.com
徐州,XUZHOU,徐州光华眼科医院,www.ghyk.com
徐州,XUZHOU,徐州市第一人民医院,www.xzsdyyy.com
徐州,XUZHOU,徐州肿瘤医院（原徐州三院）,epaper.cnxz.com.cn
盐城,YANCHENG,盐城曙光眼科医院,www.ycsgyk.com
阳江,YANGJIANG,阳江光明眼科医院,yjgmeye.cn
扬州,YANGZHOU,苏北人民医院,www.yzsbh.com
延吉,YANJI,延吉汇锋眼科医院,yj.huifengeye.com
烟台,YANTAI,烟台光明眼科医院,www.ytgmyk.cn
烟台,YANTAI,烟台技术开发区医院,www.ytykyy.com
烟台,YANTAI,烟台康爱眼科医院,www.ytkah.com
烟台,YANTAI,烟台市牟平区人民医院,1069631.1024sj.com
烟台,YANTAI,烟台市毓璜顶医院,www.ytyhdyy.com
宜宾,YIBIN,宜宾市第一人民医院,www.yb999.com
宜昌,YICHANG,宜昌阳明眼科医院,www.ymeye.com
宜春,YICHUN,宜春爱尔眼科医院,0795.eye0791.com
义乌,YIWU,义乌近视治疗医院,057985539898.locoso.com
益阳,YIYANG,益阳中心医院,354011.czvv.com
永州,YONGZHOU,永州爱尔眼科医院,0746.aierhn.com
永州,YONGZHOU,永州市中医院,www.yzszyyy.com
玉林,YULIN,广西玉林第一医院(广西医科大学第六附属医院),www.ylsdyrmyy.com
榆林,YULIN,榆林市中医院（北方医院）,www.ylzyy.com
运城,YUNCHENG,山西省运城眼科医院,yuncheng0990.11467.com
运城,YUNCHENG,运城市中心医院,www.ycch.cn
郑州,ZHENGZHOU,解放军第153医院,www.jsb153.com
郑州,ZHENGZHOU,郑州艾格眼科医院,www.eyegood120.com
郑州,ZHENGZHOU,郑州大学第五附属医院,www.ztzy.com
郑州,ZHENGZHOU,郑州普瑞眼科医院,www.p0371.com
镇江,ZHENJIANG,镇江康复眼科医院,www.zjykh.com
镇江,ZHENJIANG,镇江市第一人民医院,www.zjhospital.org.cn
舟山,ZHOUSHAN,浙江舟山市人民医院,www.zs-hospital.com
诸暨,ZHUJI,诸暨华山康复医院有限公司,www.zjhskfyy.com
诸暨,ZHUJI,诸暨市红十字医院,shaoxing070560.11467.com
株洲,ZHUZHOU,株洲天元区人民医院（仁和眼科医院 ）,073322395911.locoso.com
淄博,ZIBO,淄博市第一医院,www.zbfirsthosp.com
淄博,ZIBO,淄博眼科医院,5939958.czvv.com
